,authors,title,venue,year,type,id,cited by,title_ranking
15,"Nada Ahmed J., Abdul Monem S. Rahma, Maha A. Hmmood Alrawi",A Novel Coding and Discrimination (CODIS) ‎Algorithm to Extract Features from Arabic Texts to ‎Discriminate Arabic Poems.,Int. J. Adv. Pervasive Ubiquitous Comput.,2019,Journal Articles,anovelcodinganddiscriminationcodis‎algorithmtoextractfeaturesfromarabictextsto‎discriminatearabicpoems2019,,Novel Coding Discrimination CODIS ‎Algorithm Extract Features Arabic Texts ‎Discriminate Arabic Poems
16,"Imtiaz Hussain Khan, Muazzam Ahmed Siddiqui, Kamal M. Jambi",Towards Building an Arabic Plagiarism Detection System - Plagiarism Detection in Arabic.,Int. J. Inf. Retr. Res.,2019,Journal Articles,towardsbuildinganarabicplagiarismdetectionsystemplagiarismdetectioninarabic2019,,Towards Building Arabic Plagiarism Detection System Plagiarism Detection Arabic
17,"Taha Zerrouki, Mohammed M. Abu Shquier, Amar Balla, Nabila Bousbia, Imededdine Sakraoui, Fateh Boudardara",Adapting eSpeak to Arabic language - converting Arabic text to speech language using eSpeak.,Int. J. Reason. based Intell. Syst.,2019,Journal Articles,adaptingespeaktoarabiclanguageconvertingarabictexttospeechlanguageusingespeak2019,5.0,Adapting eSpeak Arabic language converting Arabic text speech language eSpeak
18,"Hamzah Luqman, Sabri A. Mahmoud",Automatic translation of Arabic text-to-Arabic sign language.,Univers. Access Inf. Soc.,2019,Journal Articles,automatictranslationofarabictexttoarabicsignlanguage2019,18.0,Automatic translation Arabic texttoArabic sign language
19,"Emad Mohamed, Zeeshan Ali Sayyed","Arabic-SOS - Segmentation, Stemming, and Orthography Standardization for Classical and pre-Modern Standard Arabic.",DATeCH,2019,Conference and Workshop Papers,arabicsossegmentationstemmingandorthographystandardizationforclassicalandpremodernstandardarabic2019,,ArabicSOS Segmentation Stemming Orthography Standardization Classical preModern Arabic
20,"Mohamed Eldesouki, Naassih Gopee, Ahmed Ali, Kareem Darwish",FarSpeech - Arabic Natural Language Processing for Live Arabic Speech.,INTERSPEECH,2019,Conference and Workshop Papers,farspeecharabicnaturallanguageprocessingforlivearabicspeech2019,,FarSpeech Arabic Natural Language Processing Live Arabic Speech
21,Sally Jo Cunningham,An Analysis of Arabic Language Music Queries - Design Considerations for an Arabic Music Digital Library.,JCDL,2019,Conference and Workshop Papers,ananalysisofarabiclanguagemusicqueriesdesignconsiderationsforanarabicmusicdigitallibrary2019,,Analysis Arabic Language Music Queries Design Considerations Arabic Music Digital Library
22,"Bushra Algotiml, AbdelRahim A. Elmadany, Walid Magdy",Arabic Tweet-Act - Speech Act Recognition for Arabic Asynchronous Conversations.,WANLP@ACL 2019,2019,Conference and Workshop Papers,arabictweetactspeechactrecognitionforarabicasynchronousconversations2019,,Arabic TweetAct Speech Act Recognition Arabic Asynchronous Conversations
23,"Izzat Alsmadi, Mohammad Zarour",Google n-gram viewer does not include arabic corpus! towards n-gram viewer for arabic corpus.,Int. Arab J. Inf. Technol.,2018,Journal Articles,googlengramviewerdoesnotincludearabiccorpustowardsngramviewerforarabiccorpus2018,,Google ngram viewer include arabic corpus towards ngram viewer arabic corpus
24,"Tareq Al-Moslmi, Mohammed Albared, Adel Al-Shabi, Nazlia Omar, Salwani Abdullah",Arabic senti-lexicon - Constructing publicly available language resources for Arabic sentiment analysis.,J. Inf. Sci.,2018,Journal Articles,arabicsentilexiconconstructingpubliclyavailablelanguageresourcesforarabicsentimentanalysis2018,,Arabic sentilexicon Constructing publicly available language resources Arabic sentiment analysis
25,"Rahima Bentrcia, Samir Zidat, Farhi Marir",Extracting semantic relations from the Quranic Arabic based on Arabic conjunctive patterns.,J. King Saud Univ. Comput. Inf. Sci.,2018,Journal Articles,extractingsemanticrelationsfromthequranicarabicbasedonarabicconjunctivepatterns2018,,Extracting semantic relations Quranic Arabic based Arabic conjunctive patterns
26,"Ali Alkhatlan, Jugal Kalita, Ahmed Alhaddad",Word Sense Disambiguation for Arabic Exploiting Arabic WordNet and Word Embedding.,ACLING,2018,Conference and Workshop Papers,wordsensedisambiguationforarabicexploitingarabicwordnetandwordembedding2018,13.0,Word Sense Disambiguation Arabic Exploiting Arabic WordNet Word Embedding
27,"Paul Rodrigues 0001, Valerie Novak, C. Anton Rytting, Julie Yelle, Jennifer Boutz",Arabic Data Science Toolkit - An API for Arabic Language Feature Extraction.,LREC,2018,Conference and Workshop Papers,arabicdatasciencetoolkitanapiforarabiclanguagefeatureextraction2018,,Arabic Data Science Toolkit API Arabic Language Feature Extraction
28,Abdulkareem Alsudais,Image Classification for Arabic - Assessing the Accuracy of Direct English to Arabic Translations.,CoRR,2018,Informal Publications,imageclassificationforarabicassessingtheaccuracyofdirectenglishtoarabictranslations2018,,Image Classification Arabic Assessing Accuracy Direct Arabic Translations
29,"Abu Bakr Soliman, Kareem Eissa, Samhaa R. El-Beltagy",AraVec - A set of Arabic Word Embedding Models for use in Arabic NLP.,ACLING,2017,Conference and Workshop Papers,aravecasetofarabicwordembeddingmodelsforuseinarabicnlp2017,,AraVec set Arabic Word Embedding Models Arabic NLP
30,"Eslam Amer, Heba M. Khalil, Tarek. El-Shistawy",Enhancing Semantic Arabic Information Retrieval via Arabic Wikipedia Assisted Search Expansion Layer.,AISI,2017,Conference and Workshop Papers,enhancingsemanticarabicinformationretrievalviaarabicwikipediaassistedsearchexpansionlayer2017,,Enhancing Semantic Arabic Information Retrieval via Arabic Wikipedia Assisted Search Expansion Layer
31,"Kalthoum Adam, Somaya Al-Máadeed, Ahmed Bouridane",Letter-based classification of Arabic scripts style in ancient Arabic manuscripts - Preliminary results.,ASAR,2017,Conference and Workshop Papers,letterbasedclassificationofarabicscriptsstyleinancientarabicmanuscriptspreliminaryresults2017,,Letterbased classification Arabic scripts style ancient Arabic manuscripts Preliminary results
32,Mohammed Faouzi Ben Zeghiba,Arabic word decomposition techniques for offline Arabic text transcription.,ASAR,2017,Conference and Workshop Papers,arabicworddecompositiontechniquesforofflinearabictexttranscription2017,,Arabic word decomposition techniques offline Arabic text transcription
33,"Hassan Althobaiti, Chao Lu",A survey on Arabic Optical Character Recognition and an isolated handwritten Arabic Character Recognition algorithm using encoded freeman chain code.,CISS,2017,Conference and Workshop Papers,asurveyonarabicopticalcharacterrecognitionandanisolatedhandwrittenarabiccharacterrecognitionalgorithmusingencodedfreemanchaincode2017,,survey Arabic Optical Character Recognition isolated handwritten Arabic Character Recognition algorithm encoded freeman chain code
34,"Esraa Khalid Alobaydi, Rayan Yousif Alkhayat, Muhammad Rafie Mohd Arshad, Essia Ries Ahmed",Context-aware ubiquitous Arabic vocabularies learning system (U-Arabic) - A framework design and implementation.,ICCSCE,2017,Conference and Workshop Papers,contextawareubiquitousarabicvocabularieslearningsystemuarabicaframeworkdesignandimplementation2017,,Contextaware ubiquitous Arabic vocabularies learning system UArabic framework design implementation
35,"Taoufiq Zarra, Raddouane Chiheb, Rajae Moumen, Rdouan Faizi, Abdellatif El Afia",Topic and sentiment model applied to the colloquial Arabic - a case study of Maghrebi Arabic.,ICSDE,2017,Conference and Workshop Papers,topicandsentimentmodelappliedtothecolloquialarabicacasestudyofmaghrebiarabic2017,7.0,Topic sentiment model applied colloquial Arabic study Maghrebi Arabic
36,Ahmad Yahya M. Floos,Arabic Rumours Identification By Measuring The Credibility Of Arabic Tweet Content.,Int. J. Knowl. Soc. Res.,2016,Journal Articles,arabicrumoursidentificationbymeasuringthecredibilityofarabictweetcontent2016,,Arabic Rumours Identification Measuring Credibility Arabic Tweet Content
37,"Giuliano Lancioni, Elisa Gugliotta, Valeria Pettinari",Lahajat - A rule-based converter of standard Arabic lexical databases into spoken Arabic forms.,CIST,2016,Conference and Workshop Papers,lahajatarulebasedconverterofstandardarabiclexicaldatabasesintospokenarabicforms2016,1.0,Lahajat rulebased converter Arabic lexical databases spoken Arabic forms
38,"Zakaria El Maazouzi, Badr Eddine El Mohajir, Mohammed Al Achhab, Adnan Souri",Development of a bilingual corpus of Arabic and Arabic Sign Language based on a signed content.,CIST,2016,Conference and Workshop Papers,developmentofabilingualcorpusofarabicandarabicsignlanguagebasedonasignedcontent2016,,Development bilingual corpus Arabic Arabic Sign Language based signed content
39,"Simona Olivieri, Ivana Pepe, Ilaria Cicola",Encoding Arabic rhetorical structure - A methodology for the extraction of Arabic lexical information from TEI-encoded classical sources.,CIST,2016,Conference and Workshop Papers,encodingarabicrhetoricalstructureamethodologyfortheextractionofarabiclexicalinformationfromteiencodedclassicalsources2016,,Encoding Arabic rhetorical structure methodology extraction Arabic lexical information TEIencoded classical sources
40,"Hend S. Al-Khalifa, Afnan Alfaadhel, Daniah Albulikhi, Lamya Alrakhes, Nada Almugren, Sara Alqubaisi, Muna A. Muhaureq",A web-based system and web service for coloring and decoding Arabic text for Arabic learners.,iiWAS,2016,Conference and Workshop Papers,awebbasedsystemandwebserviceforcoloringanddecodingarabictextforarabiclearners2016,,webbased system web service coloring decoding Arabic text Arabic learners
41,"Rana S. M. Saad, Randa I. Elanwar, N. S. Abdel Kader, Samia Mashali, Margrit Betke",BCE-Arabic-v1 dataset - Towards interpreting Arabic document images for people with visual impairments.,PETRA,2016,Conference and Workshop Papers,bcearabicv1datasettowardsinterpretingarabicdocumentimagesforpeoplewithvisualimpairments2016,,BCEArabicv1 dataset Towards interpreting Arabic document images people visual impairments
42,"Reem Suwaileh, Mücahid Kutlu, Nihal Fathima, Tamer Elsayed, Matthew Lease",ArabicWeb16 - A New Crawl for Today&apos;s Arabic Web.,SIGIR,2016,Conference and Workshop Papers,arabicweb16anewcrawlfortodayapossarabicweb2016,,ArabicWeb16 Crawl Todayaposs Arabic Web
43,"Wafia Adouane, Nasredine Semmar, Richard Johansson, Victoria Bobicev",Automatic Detection of Arabicized Berber and Arabic Varieties.,VarDial@COLING,2016,Conference and Workshop Papers,automaticdetectionofarabicizedberberandarabicvarieties2016,,Automatic Detection Arabicized Berber Arabic Varieties
44,"Areej Alshutayri, Eric Atwell, Abdulrahman Alosaimy, James Dickins, Michael Ingleby, Janet Watson",Arabic Language WEKA-Based Dialect Classifier for Arabic Automatic Speech Recognition Transcripts.,VarDial@COLING,2016,Conference and Workshop Papers,arabiclanguagewekabaseddialectclassifierforarabicautomaticspeechrecognitiontranscripts2016,,Arabic Language WEKABased Dialect Classifier Arabic Automatic Speech Recognition Transcripts
45,Abdullah Yahya G. Alfaifi,Building the Arabic learner corpus and a system for Arabic error annotation.,,2015,Books and Theses,buildingthearabiclearnercorpusandasystemforarabicerrorannotation2015,,Building Arabic learner corpus system Arabic error annotation
46,"Suhad A. Yousif, Venus Samawi, Islam Elkabani, Rached N. Zantout",Enhancement of Arabic Text Classification Using Semantic Relations of Arabic WordNet.,J. Comput. Sci.,2015,Journal Articles,enhancementofarabictextclassificationusingsemanticrelationsofarabicwordnet2015,,Enhancement Arabic Text Classification Semantic Relations Arabic WordNet
47,"Mohamed Khalil Krichi, Adnan Cherif",Improvements of Arabic database and Noise Reduction of Speech Signal using Wavelet for Arabic speech synthesis system using HMM - HTS_ARAB_TALK.,J. Inf. Hiding Multim. Signal Process.,2015,Journal Articles,improvementsofarabicdatabaseandnoisereductionofspeechsignalusingwaveletforarabicspeechsynthesissystemusinghmmhtsarabtalk2015,,Improvements Arabic database Noise Reduction Speech Signal Wavelet Arabic speech synthesis system HMM HTSARABTALK
48,"Aqil M. Azmi, Eman A. Aljafari",Modern information retrieval in Arabic - catering to standard and colloquial Arabic users.,J. Inf. Sci.,2015,Journal Articles,moderninformationretrievalinarabiccateringtostandardandcolloquialarabicusers2015,,information retrieval Arabic catering colloquial Arabic users
49,AbdulMohsen O. Al-Thubaity,A 700M+ Arabic corpus - KACST Arabic corpus design and construction.,Lang. Resour. Evaluation,2015,Journal Articles,a700m+arabiccorpuskacstarabiccorpusdesignandconstruction2015,45.0,700M+ Arabic corpus KACST Arabic corpus design construction
50,"Mohamed Faouzi BenZeghiba, Jérôme Louradour, Christopher Kermorvant",Hybrid word/Part-of-Arabic-Word Language Models for arabic text document recognition.,ICDAR,2015,Conference and Workshop Papers,hybridwordpartofarabicwordlanguagemodelsforarabictextdocumentrecognition2015,,Hybrid wordPartofArabicWord Language Models arabic text document recognition
51,"Fatma Ben Mesmia, Kais Haddar, Denis Maurel, Nathalie Friburger",Arabic Named Entity Recognition Process using Transducer Cascade and Arabic Wikipedia.,RANLP,2015,Conference and Workshop Papers,arabicnamedentityrecognitionprocessusingtransducercascadeandarabicwikipedia2015,5.0,Arabic Named Entity Recognition Process Transducer Cascade Arabic Wikipedia
52,"Abderrahmane Khiat, Moussa Benaissa, Ernesto Jiménez-Ruiz",ADOM - arabic dataset for evaluating arabic and cross-lingual ontology alignment systems.,OM,2015,Conference and Workshop Papers,adomarabicdatasetforevaluatingarabicandcrosslingualontologyalignmentsystems2015,,ADOM arabic dataset evaluating arabic crosslingual ontology alignment systems
53,"Fatma Abu Hawas, Keith E. Emmert",Rule-based Approach for Arabic Root Extraction - New Rules to Directly Extract Roots of Arabic Words.,J. Comput. Inf. Technol.,2014,Journal Articles,rulebasedapproachforarabicrootextractionnewrulestodirectlyextractrootsofarabicwords2014,,Rulebased Approach Arabic Root Extraction Rules Directly Extract Roots Arabic Words
54,"Ahmed Abbache, Fatiha Barigou, Fatma Zohra Belkredim, Ghalem Belalem",The Use of Arabic WordNet in Arabic Information Retrieval.,Int. J. Inf. Retr. Res.,2014,Journal Articles,theuseofarabicwordnetinarabicinformationretrieval2014,,Arabic WordNet Arabic Information Retrieval
55,"Raed H. AlHazme, Arif M. Rana, Alhussain Aodah","Serious Arabic meaning, grammatical, and study design flaws in the study &quot;Faxed Arabic Prescriptions - A medication error waiting to happen?&quot;.",Int. J. Medical Informatics,2014,Journal Articles,seriousarabicmeaninggrammaticalandstudydesignflawsinthestudyquotfaxedarabicprescriptionsamedicationerrorwaitingtohappenquot2014,,Serious Arabic meaning grammatical study design flaws study quotFaxed Arabic Prescriptions medication error waiting happenquot
56,"Ahmed I. El-taher, Hitahm M. Abo Bakr, Ibrahim Zidan, Khaled Shaalan",An Arabic CCG approach for determining constituent types from Arabic Treebank.,J. King Saud Univ. Comput. Inf. Sci.,2014,Journal Articles,anarabicccgapproachfordeterminingconstituenttypesfromarabictreebank2014,,Arabic CCG approach determining constituent types Arabic Treebank
57,"Adnan H. Yahya, Ali Salhi",Arabic Text Categorization Based on Arabic Wikipedia.,ACM Trans. Asian Lang. Inf. Process.,2014,Journal Articles,arabictextcategorizationbasedonarabicwikipedia2014,9.0,Arabic Text Categorization Based Arabic Wikipedia
58,"Michael Ingleby, Fatmah Baothman",Syllabic Markov models of Arabic HMMs of spoken Arabic using CV units.,CIST,2014,Conference and Workshop Papers,syllabicmarkovmodelsofarabichmmsofspokenarabicusingcvunits2014,,Syllabic Markov models Arabic HMMs spoken Arabic CV units
59,"Mona T. Diab, Mohamed Al-Badrashiny, Maryam Aminian, Mohammed Attia, Heba Elfardy, Nizar Habash, Abdelati Hawwari, Wael Salloum, Pradeep Dasigi, Ramy Eskander",Tharwa - A Large Scale Dialectal Arabic - Standard Arabic - English Lexicon.,LREC,2014,Conference and Workshop Papers,tharwaalargescaledialectalarabicstandardarabicenglishlexicon2014,43.0,Tharwa Scale Dialectal Arabic Arabic Lexicon
60,"Andrew Gargett, Sam Hellmuth, Ghazi AlGethami",DiVE-Arabic - Gulf Arabic Dialogue in a Virtual Environment.,LREC,2014,Conference and Workshop Papers,divearabicgulfarabicdialogueinavirtualenvironment2014,,DiVEArabic Gulf Arabic Dialogue Virtual Environment
61,"Nadia Soudani, Ibrahim Bounhas, Bilel Elayeb, Yahya Slimani",Toward an Arabic Ontology for Arabic Word Sense Disambiguation Based on Normalized Dictionaries.,OTM Workshops,2014,Conference and Workshop Papers,towardanarabicontologyforarabicwordsensedisambiguationbasedonnormalizeddictionaries2014,15.0,Arabic Ontology Arabic Word Sense Disambiguation Based Normalized Dictionaries
62,"Gilbert Badaro, Ramy Baly, Hazem M. Hajj, Nizar Habash, Wassim El-Hajj",A Large Scale Arabic Sentiment Lexicon for Arabic Opinion Mining.,ANLP@EMNLP,2014,Conference and Workshop Papers,alargescalearabicsentimentlexiconforarabicopinionmining2014,149.0,Scale Arabic Sentiment Lexicon Arabic Opinion Mining
63,"Ann Bies, Zhiyi Song, Mohamed Maamouri, Stephen Grimes, Haejoong Lee, Jonathan Wright, Stephanie M. Strassel, Nizar Habash, Ramy Eskander, Owen Rambow",Transliteration of Arabizi into Arabic Orthography - Developing a Parallel Annotated Arabizi-Arabic Script SMS/Chat Corpus.,ANLP@EMNLP,2014,Conference and Workshop Papers,transliterationofarabiziintoarabicorthographydevelopingaparallelannotatedarabiziarabicscriptsmschatcorpus2014,46.0,Transliteration Arabizi Arabic Orthography Developing Parallel Annotated ArabiziArabic Script SMSChat Corpus
64,"Alicia Gonzalez Martínez, Susana Lopez Hervas, Doaa Samy, Carlos G. Arques, Antonio Moreno-Sandoval",Jabalin - a Comprehensive Computational Model of Modern Standard Arabic Verbal Morphology Based on Traditional Arabic Prosody.,CoRR,2014,Informal Publications,jabalinacomprehensivecomputationalmodelofmodernstandardarabicverbalmorphologybasedontraditionalarabicprosody2014,,Jabalin Comprehensive Computational Model Arabic Verbal Morphology Based Traditional Arabic Prosody
65,Fatma Abu Hawas,Towards a new Approach for Arabic root extraction - Exploit relations between the word letters and their placement in the word for Arabic root extraction.,Comput. Sci.,2013,Journal Articles,towardsanewapproachforarabicrootextractionexploitrelationsbetweenthewordlettersandtheirplacementinthewordforarabicrootextraction2013,,Towards Approach Arabic root extraction Exploit relations word letters placement word Arabic root extraction
66,"Manish Gaurav, Guruprasad Saikumar, Amit Srivastava, Premkumar Natarajan, Shankar Ananthakrishnan, Spyros Matsoukas",Leveraging Arabic-English Bilingual Corpora with Crowd Sourcing-Based Annotation for Arabic-Hebrew SMT.,CICLing,2013,Conference and Workshop Papers,leveragingarabicenglishbilingualcorporawithcrowdsourcingbasedannotationforarabichebrewsmt2013,,Leveraging ArabicEnglish Bilingual Corpora Crowd SourcingBased Annotation ArabicHebrew SMT
67,"Nasredine Semmar, Houda Saadane",Using Transliteration of Proper Names from Arabic to Latin Script to Improve English-Arabic Word Alignment.,IJCNLP,2013,Conference and Workshop Papers,usingtransliterationofpropernamesfromarabictolatinscripttoimproveenglisharabicwordalignment2013,,Transliteration Proper Names Arabic Latin Script Improve EnglishArabic Word Alignment
68,"Wael Salloum, Nizar Habash",Dialectal Arabic to English Machine Translation - Pivoting through Modern Standard Arabic.,HLT-NAACL,2013,Conference and Workshop Papers,dialectalarabictoenglishmachinetranslationpivotingthroughmodernstandardarabic2013,37.0,Dialectal Arabic Machine Translation Pivoting Arabic
69,"Alicia Gonzalez Martínez, Susana Lopez Hervas, Doaa Samy, Carlos G. Arques, Antonio Moreno-Sandoval",Jabalín - A Comprehensive Computational Model of Modern Standard Arabic Verbal Morphology Based on Traditional Arabic Prosody.,SFCM,2013,Conference and Workshop Papers,jabalínacomprehensivecomputationalmodelofmodernstandardarabicverbalmorphologybasedontraditionalarabicprosody2013,,Jabalín Comprehensive Computational Model Arabic Verbal Morphology Based Traditional Arabic Prosody
70,"Ahmed Mourad, Kareem Darwish",Subjectivity and Sentiment Analysis of Modern Standard Arabic and Arabic Microblogs.,WASSA@NAACL-HLT,2013,Conference and Workshop Papers,subjectivityandsentimentanalysisofmodernstandardarabicandarabicmicroblogs2013,170.0,Subjectivity Sentiment Analysis Arabic Arabic Microblogs
71,"Hanane Froud, Abdelmounim Lachkar, Saîd El Alaoui Ouatik",Arabic text summarization based on latent semantic analysis to enhance arabic documents clustering,CoRR,2013,Informal Publications,arabictextsummarizationbasedonlatentsemanticanalysistoenhancearabicdocumentsclustering2013,58.0,Arabic text summarization based latent semantic analysis enhance arabic documents clustering
72,Abdulaziz Almohimeed,Arabic text to Arabic sign language example-based translation system.,,2012,Books and Theses,arabictexttoarabicsignlanguageexamplebasedtranslationsystem2012,,Arabic text Arabic sign language examplebased translation system
73,"Mohammed Q. Shatnawi, Muneer O. Bani Yassein, Reem Mahafza",A framework for retrieving Arabic documents based on queries written in Arabic slang language.,J. Inf. Sci.,2012,Journal Articles,aframeworkforretrievingarabicdocumentsbasedonquerieswritteninarabicslanglanguage2012,,framework retrieving Arabic documents based queries written Arabic slang language
74,"Hassan Al-Haj, Alon Lavie",The impact of Arabic morphological segmentation on broad-coverage English-to-Arabic statistical machine translation.,Mach. Transl.,2012,Journal Articles,theimpactofarabicmorphologicalsegmentationonbroadcoverageenglishtoarabicstatisticalmachinetranslation2012,,impact Arabic morphological segmentation broadcoverage EnglishtoArabic statistical machine translation
75,"Arianna Bisazza, Daniele Pighin, Marcello Federico",Chunk-lattices for verb reordering in Arabic-English statistical machine translation - Special issues on machine translation for Arabic.,Mach. Transl.,2012,Journal Articles,chunklatticesforverbreorderinginarabicenglishstatisticalmachinetranslationspecialissuesonmachinetranslationforarabic2012,,Chunklattices verb reordering ArabicEnglish statistical machine translation Special issues machine translation Arabic
76,"Emad Mohamed, Behrang Mohit, Kemal Oflazer",Transforming Standard Arabic to Colloquial Arabic.,ACL,2012,Conference and Workshop Papers,transformingstandardarabictocolloquialarabic2012,,Transforming Arabic Colloquial Arabic
77,"Omar Trigui, Lamia Hadrich Belguith, Paolo Rosso, Hichem Ben Amor, Bilel Gafsaoui",Arabic QA4MRE at CLEF 2012 - Arabic Question Answering for Machine Reading Evaluation.,CLEF,2012,Conference and Workshop Papers,arabicqa4mreatclef2012arabicquestionansweringformachinereadingevaluation2012,22.0,Arabic QA4MRE CLEF 2012 Arabic Question Answering Machine Reading Evaluation
78,"Abdelkarim Erradi, Sajeda Nahia, Hind Almerekhi, Lubna Al-kailani",ArabicTutor - A multimedia m-Learning platform for learning Arabic spelling and vocabulary.,ICMCS,2012,Conference and Workshop Papers,arabictutoramultimediamlearningplatformforlearningarabicspellingandvocabulary2012,,ArabicTutor multimedia mLearning platform learning Arabic spelling vocabulary
79,"Khalid M. O. Nahar, Moustafa Elshafei, Wasfi G. Al-Khatib, Husni Al-Muhtaseb, Mansour M. Alghamdi",Statistical Analysis of Arabic Phonemes Used in Arabic Speech Recognition.,ICONIP,2012,Conference and Workshop Papers,statisticalanalysisofarabicphonemesusedinarabicspeechrecognition2012,13.0,Statistical Analysis Arabic Phonemes Arabic Speech Recognition
80,"Houda Saadane, Nasredine Semmar",Utilisation de la translittération arabe pour l&apos;amélioration de l&apos;alignement de mots à partir de corpus parallèles français-arabe (Using Arabic Transliteration to Improve Word Alignment from French-Arabic Parallel Corpora) [in French].,JEP-TALN-RECITAL,2012,Conference and Workshop Papers,utilisationdelatranslittérationarabepourlaposaméliorationdelaposalignementdemotsàpartirdecorpusparallèlesfrançaisarabeusingarabictransliterationtoimprovewordalignmentfromfrencharabicparallelcorporainfrench2012,,Utilisation de la translittération arabe pour laposamélioration de laposalignement de mots à partir de corpus parallèles françaisarabe Arabic Transliteration Improve Word Alignment FrenchArabic Parallel Corpora French
